"Nickname","Fingerprint","EntryAddress","IPAddress","Port","AddressType","Hostname","CountryCode","IsRunning","IPLastChangeDate"
"seele","000A10D43011EA4928A35F610405F92B4433B4DC","104.53.221.159:9001","104.53.221.159","9001","IPv4","104-53-221-159.lightspeed.sntcca.sbcglobal.net","us","False","1/4/2022 12:00:00 AM"
"CalyxInstitute14","0011BD2485AD45D984EC4159C88FC066E5E3300E","162.247.74.201:443","162.247.74.201","443","IPv4","kunstler.tor-exit.calyxinstitute.org","us","False","1/27/2022 4:00:00 AM"
"skylarkRelay","00240ECB2B535AA4C1E1874D744DFA6AF2E5E941","95.111.230.178:443","95.111.230.178","443","IPv4","","de","False","8/28/2020 11:00:00 AM"
"StarAppsMobley","00283B5564E3072DCDDAB31D6EF622DD49BF524F","195.15.242.99:9001","195.15.242.99","9001","IPv4","","ch","False","11/28/2021 7:00:00 PM"
"StarAppsMobley","00283B5564E3072DCDDAB31D6EF622DD49BF524F","[2001:1600:10:100::201]:9001","2001:1600:10:100::201","9001","IPv6","","ch","False","11/28/2021 7:00:00 PM"
"ForPrivacyNET","0036FA36AB435FD5D0F640626636867EBFB72C68","185.220.101.33:10133","185.220.101.33","10133","IPv4","tor-exit-33.for-privacy.net","de","False","12/5/2021 4:00:00 PM"
"ForPrivacyNET","0036FA36AB435FD5D0F640626636867EBFB72C68","[2a0b:f4c2:2::33]:10133","2a0b:f4c2:2::33","10133","IPv6","tor-exit-33.for-privacy.net","de","False","12/5/2021 4:00:00 PM"
"dc6jgk11d","0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1","51.15.75.120:444","51.15.75.120","444","IPv4","tor-11c.dc6jgk.de","nl","False","5/13/2022 11:00:00 PM"
"dc6jgk11d","0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1","[2001:bc8:1860:1329::1]:444","2001:bc8:1860:1329::1","444","IPv6","tor-11c.dc6jgk.de","nl","False","5/13/2022 11:00:00 PM"
"gaterncom","004C7F2B26381F672728C647C3ED2564BA43A78C","103.118.42.36:9001","103.118.42.36","9001","IPv4","103.118.42.36.static.clayer.net","hk","False","6/17/2022 9:00:00 PM"
"iriseden","005079A42356183CEA5A3ADD239303F44F12E7EA","65.21.66.68:9001","65.21.66.68","9001","IPv4","tor-2.iriseden.fr","fi","False","3/7/2022 3:00:00 PM"
"iriseden","005079A42356183CEA5A3ADD239303F44F12E7EA","[2a01:4f9:4b:39ea::203]:9001","2a01:4f9:4b:39ea::203","9001","IPv6","tor-2.iriseden.fr","fi","False","3/7/2022 3:00:00 PM"
"Torchier2","00522C8C81F26171B56F769D2AEBA63C2501F6B9","205.185.113.66:443","205.185.113.66","443","IPv4","dns2.las.bvm.novae.tel","us","False","12/11/2021 5:00:00 AM"
"Torchier2","00522C8C81F26171B56F769D2AEBA63C2501F6B9","[2605:6400:20:eac:e2a3:125:8940:4074]:9050","2605:6400:20:eac:e2a3:125:8940:4074","9050","IPv6","dns2.las.bvm.novae.tel","us","False","12/11/2021 5:00:00 AM"
"suominode","00562690CF33F537C4F4C9587655F7469868C73A","37.16.105.85:9001","37.16.105.85","9001","IPv4","node.inetd.xyz","fi","False","12/15/2021 1:00:00 PM"
"Athena","005ED97213F725867E422B8DC0443361BBB24E3C","104.244.79.75:443","104.244.79.75","443","IPv4","tor-relay-athena.greektor.net","lu","False","11/2/2021 11:00:00 AM"
"Athena","005ED97213F725867E422B8DC0443361BBB24E3C","[2605:6400:30:fb10:d07b:edfd:2c84:bb4a]:443","2605:6400:30:fb10:d07b:edfd:2c84:bb4a","443","IPv6","tor-relay-athena.greektor.net","lu","False","11/2/2021 11:00:00 AM"
"eisbaer","0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9","109.70.100.73:8080","109.70.100.73","8080","IPv4","tor-exit-anonymizer.appliedprivacy.net","at","False","1/6/2022 2:00:00 AM"
"eisbaer","0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9","[2a03:e600:100::73]:8080","2a03:e600:100::73","8080","IPv6","tor-exit-anonymizer.appliedprivacy.net","at","False","1/6/2022 2:00:00 AM"
"k0htup0ra","00628AE6BDAE55E0ECDE6F2C88893B165047F887","212.149.237.238:9001","212.149.237.238","9001","IPv4","212-149-237-238.bb.dnainternet.fi","fi","False","5/15/2022 10:00:00 AM"
